Email,FirstName,LastName,pid,surveytype,surverydate,question,answer,sid
ben.van.zyl@contoso.com,Ben,van,1111,Move-in,2013-11-21,Overall Satisfaction,2,0
ben.van.zyl@contoso.com,Ben,van,1111,Move-in,2013-11-21,Ease of process,4,1
ben.van.zyl@contoso.com,Ben,van,1111,Move-in,2013-11-21,Staff Communication,4,2
ben.van.zyl@contoso.com,Ben,van,1111,Move-in,2013-11-21,Staff Professionalism,2,3
ben.van.zyl@contoso.com,Ben,van,1111,Move-in,2013-11-21,Staff Courtesy,4,4
ben.van.zyl@contoso.com,Ben,van,1111,Renewal,2013-11-21,Overall Satisfaction,4,5
ben.van.zyl@contoso.com,Ben,van,1111,Renewal,2013-11-21,Management Communication,2,6
ben.van.zyl@contoso.com,Ben,van,1111,Renewal,2013-11-21,Management Professionalism,2,7
ben.van.zyl@contoso.com,Ben,van,1111,Renewal,2013-11-21,Management Courtesy,2,8
ben.van.zyl@contoso.com,Ben,van,1111,Renewal,2013-11-21,Management Problem Resolution,2,9
ben.van.zyl@contoso.com,Ben,van,1111,Renewal,2013-11-21,Maintenance Overall Satisfaction,4,10
ben.van.zyl@contoso.com,Ben,van,1111,Renewal,2013-11-21,Condition of Property,4,11
helena.botha@contoso.com,Helena,Botha,1111,Move-in,2019-08-08,Overall Satisfaction,4,12
helena.botha@contoso.com,Helena,Botha,1111,Move-in,2019-08-08,Ease of process,4,13
helena.botha@contoso.com,Helena,Botha,1111,Move-in,2019-08-08,Staff Communication,4,14
helena.botha@contoso.com,Helena,Botha,1111,Move-in,2019-08-08,Staff Professionalism,2,15
helena.botha@contoso.com,Helena,Botha,1111,Move-in,2019-08-08,Staff Courtesy,4,16
helena.botha@contoso.com,Helena,Botha,1111,Renewal,2019-08-08,Overall Satisfaction,4,17
helena.botha@contoso.com,Helena,Botha,1111,Renewal,2019-08-08,Management Communication,4,18
helena.botha@contoso.com,Helena,Botha,1111,Renewal,2019-08-08,Management Professionalism,4,19
helena.botha@contoso.com,Helena,Botha,1111,Renewal,2019-08-08,Management Courtesy,4,20
helena.botha@contoso.com,Helena,Botha,1111,Renewal,2019-08-08,Management Problem Resolution,2,21
